name;price;link;image_url
;12.09 €;;https://ailena.lt/5715-home_default/kartonine-deze-paletine-1200x800x620mm-vid-bc20r-5sl.jpg
;5.07 €;;https://ailena.lt/4068-home_default/ideklas-410x275mm-nesiojamam-kompiuteriui-iki-17-siusti-ft140.jpg
;12.45 €;;https://ailena.lt/5663-home_default/deze-automobiliu-bamperiams-2000x600x700.jpg
;2.77 €;;https://ailena.lt/5646-home_default/dovanu-dezute-su-langeliu-juoda-305x215x80-mm-a4.jpg
;0.79 €;;https://ailena.lt/5435-home_default/kartonine-deze-200x200x200-mm-5sl-m-dydis.jpg
;9.18 €;;https://ailena.lt/5716-home_default/kartonine-deze-puspaletei-800x600x600mm.jpg
;1.11 €;;https://ailena.lt/4630-home_default/butelio-apsaugine-pakuote-is-gofruoto-kartono.jpg
;4.83 €;;https://ailena.lt/4065-home_default/ideklas-230x165mm-plansetiniam-kompiuteriui-iki-10-siusti-ft140.jpg
;1.50 €;;https://ailena.lt/4043-home_default/ilga-deze-siuntoms-5-dydziu-pasirinkimas-cp072.jpg
;3.44 €;;https://ailena.lt/3707-home_default/kartonine-dezute-buteliams-siusti-cp181-375x365x250mm-l-dydis.jpg
;0.27 €;;https://ailena.lt/2766-home_default/transportavimo-tutu-dangteliai-4-dydziu-pasirinkimas.jpg
;2.07 €;;https://ailena.lt/5614-home_default/ilga-trapecine-3-dydziu-pasirinkimai-deze-siuntoms-i-cp070.jpg
